geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
34003038100,"Census Tract 381, Bergen County, New Jersey",5776,72917.0,344300.0,1278.0,3785.0,74.0,0.0,128.0,0.0,55.0,82.0,1652.0
34003038200,"Census Tract 382, Bergen County, New Jersey",4276,70017.0,328000.0,1286.0,2402.0,102.0,0.0,689.0,0.0,0.0,69.0,1014.0
34003038300,"Census Tract 383, Bergen County, New Jersey",5736,85125.0,359000.0,1160.0,3493.0,0.0,0.0,690.0,0.0,0.0,26.0,1527.0
34003039100,"Census Tract 391, Bergen County, New Jersey",4252,89779.0,441700.0,1270.0,3477.0,0.0,22.0,237.0,0.0,0.0,50.0,488.0
34003039200,"Census Tract 392, Bergen County, New Jersey",5985,122586.0,434200.0,1976.0,5462.0,49.0,0.0,148.0,0.0,0.0,0.0,326.0
34003039300,"Census Tract 393, Bergen County, New Jersey",2804,121000.0,447200.0,1084.0,2467.0,77.0,0.0,131.0,0.0,0.0,31.0,98.0
34003040001,"Census Tract 400.01, Bergen County, New Jersey",3486,178827.0,621900.0,1614.0,2902.0,10.0,0.0,241.0,0.0,0.0,85.0,248.0
34003040002,"Census Tract 400.02, Bergen County, New Jersey",4674,114946.0,494100.0,1869.0,3397.0,165.0,0.0,818.0,0.0,0.0,180.0,114.0
34003041100,"Census Tract 411, Bergen County, New Jersey",5501,53347.0,481600.0,1683.0,769.0,99.0,20.0,2709.0,6.0,0.0,69.0,1838.0
34003041200,"Census Tract 412, Bergen County, New Jersey",4993,73435.0,572000.0,1854.0,953.0,6.0,52.0,3023.0,0.0,0.0,263.0,696.0
34003041301,"Census Tract 413.01, Bergen County, New Jersey",5465,57629.0,509900.0,1492.0,1082.0,177.0,19.0,2805.0,0.0,0.0,0.0,1382.0
34003041302,"Census Tract 413.02, Bergen County, New Jersey",4540,71791.0,471700.0,1569.0,903.0,73.0,31.0,3175.0,0.0,0.0,56.0,309.0
34003042100,"Census Tract 421, Bergen County, New Jersey",7088,91386.0,495800.0,2231.0,4606.0,104.0,0.0,1742.0,0.0,0.0,0.0,636.0
34003042301,"Census Tract 423.01, Bergen County, New Jersey",4515,95441.0,570400.0,1663.0,2705.0,45.0,11.0,1279.0,0.0,11.0,89.0,375.0
34003042302,"Census Tract 423.02, Bergen County, New Jersey",5900,116549.0,588300.0,1822.0,3673.0,222.0,10.0,1353.0,0.0,0.0,102.0,540.0
34003042400,"Census Tract 424, Bergen County, New Jersey",4606,117381.0,592800.0,1796.0,2990.0,2.0,3.0,1096.0,0.0,62.0,125.0,328.0
34003042500,"Census Tract 425, Bergen County, New Jersey",4686,105341.0,611300.0,1721.0,2048.0,334.0,0.0,1606.0,0.0,0.0,87.0,611.0
34003043001,"Census Tract 430.01, Bergen County, New Jersey",4086,113750.0,584200.0,1575.0,3050.0,48.0,0.0,117.0,0.0,0.0,69.0,802.0
34003043002,"Census Tract 430.02, Bergen County, New Jersey",4768,97404.0,485700.0,1725.0,3665.0,194.0,11.0,134.0,0.0,0.0,125.0,639.0
34003044100,"Census Tract 441, Bergen County, New Jersey",6211,175795.0,669500.0,2765.0,5768.0,0.0,0.0,261.0,0.0,0.0,63.0,119.0
34003044201,"Census Tract 442.01, Bergen County, New Jersey",3760,160602.0,586000.0,1829.0,3266.0,17.0,0.0,246.0,0.0,0.0,0.0,231.0
34003044202,"Census Tract 442.02, Bergen County, New Jersey",5029,107660.0,395600.0,2331.0,3919.0,0.0,0.0,875.0,0.0,0.0,0.0,235.0
34003045100,"Census Tract 451, Bergen County, New Jersey",8873,72546.0,465500.0,2035.0,3319.0,121.0,39.0,2786.0,0.0,40.0,126.0,2442.0
34003045200,"Census Tract 452, Bergen County, New Jersey",2421,65735.0,427300.0,841.0,809.0,19.0,0.0,829.0,0.0,0.0,121.0,643.0
34003046100,"Census Tract 461, Bergen County, New Jersey",4277,60765.0,339100.0,1373.0,1820.0,149.0,29.0,783.0,0.0,11.0,6.0,1508.0
34003046200,"Census Tract 462, Bergen County, New Jersey",4225,88705.0,325400.0,949.0,1687.0,45.0,4.0,460.0,6.0,0.0,174.0,1849.0
34003046300,"Census Tract 463, Bergen County, New Jersey",4474,62250.0,295200.0,1272.0,1613.0,300.0,25.0,562.0,8.0,72.0,43.0,1851.0
34003047100,"Census Tract 471, Bergen County, New Jersey",5901,142434.0,622200.0,2695.0,4079.0,24.0,19.0,956.0,8.0,0.0,89.0,736.0
34003047200,"Census Tract 472, Bergen County, New Jersey",4318,189792.0,903800.0,2150.0,3401.0,32.0,0.0,525.0,7.0,0.0,150.0,203.0
34003047300,"Census Tract 473, Bergen County, New Jersey",3138,250001.0,1033800.0,1472.0,2603.0,41.0,0.0,324.0,0.0,0.0,79.0,91.0
34003047400,"Census Tract 474, Bergen County, New Jersey",5130,109500.0,728900.0,2605.0,3155.0,206.0,11.0,951.0,0.0,34.0,140.0,633.0
34003047500,"Census Tract 475, Bergen County, New Jersey",6943,166563.0,644200.0,3484.0,5256.0,105.0,0.0,1023.0,0.0,0.0,137.0,422.0
34003048100,"Census Tract 481, Bergen County, New Jersey",4138,78618.0,446700.0,1372.0,1914.0,39.0,24.0,1357.0,0.0,54.0,187.0,563.0
34003048200,"Census Tract 482, Bergen County, New Jersey",7448,150679.0,475300.0,3028.0,5266.0,75.0,0.0,1202.0,0.0,90.0,29.0,786.0
34003049001,"Census Tract 490.01, Bergen County, New Jersey",4504,159495.0,657400.0,2093.0,3932.0,0.0,0.0,312.0,0.0,0.0,43.0,217.0
34003049002,"Census Tract 490.02, Bergen County, New Jersey",5466,122602.0,534900.0,2073.0,4418.0,85.0,25.0,509.0,0.0,39.0,132.0,258.0
34003050000,"Census Tract 500, Bergen County, New Jersey",5634,76354.0,351300.0,1375.0,3520.0,75.0,10.0,738.0,0.0,0.0,34.0,1262.0
34003051100,"Census Tract 511, Bergen County, New Jersey",6251,81149.0,435300.0,2179.0,3804.0,199.0,0.0,1252.0,0.0,0.0,85.0,911.0
34003051200,"Census Tract 512, Bergen County, New Jersey",2550,110536.0,448800.0,1007.0,1909.0,11.0,7.0,138.0,0.0,0.0,41.0,451.0
34003051300,"Census Tract 513, Bergen County, New Jersey",4722,75862.0,417400.0,1727.0,2589.0,157.0,2.0,897.0,4.0,0.0,164.0,909.0
34003051400,"Census Tract 514, Bergen County, New Jersey",4957,105639.0,433400.0,1960.0,3145.0,16.0,0.0,783.0,0.0,44.0,104.0,865.0
34003052100,"Census Tract 521, Bergen County, New Jersey",7789,82690.0,370800.0,1702.0,6265.0,32.0,0.0,432.0,0.0,0.0,35.0,1025.0
34003052200,"Census Tract 522, Bergen County, New Jersey",6191,96740.0,354200.0,1685.0,4091.0,86.0,25.0,816.0,0.0,0.0,87.0,1086.0
34003053100,"Census Tract 531, Bergen County, New Jersey",3241,131845.0,1784500.0,1534.0,2284.0,89.0,0.0,510.0,0.0,18.0,78.0,262.0
34003053200,"Census Tract 532, Bergen County, New Jersey",8301,171747.0,905100.0,3510.0,6150.0,272.0,0.0,1178.0,0.0,0.0,81.0,620.0
34003054100,"Census Tract 541, Bergen County, New Jersey",8588,83750.0,375100.0,2405.0,1411.0,5654.0,0.0,399.0,0.0,19.0,48.0,1057.0
34003054200,"Census Tract 542, Bergen County, New Jersey",4291,60511.0,319600.0,1288.0,1296.0,1754.0,0.0,340.0,0.0,0.0,50.0,851.0
34003054300,"Census Tract 543, Bergen County, New Jersey",6886,192540.0,616600.0,3369.0,5794.0,754.0,0.0,138.0,0.0,0.0,47.0,153.0
34003054400,"Census Tract 544, Bergen County, New Jersey",7353,99821.0,358100.0,2719.0,3608.0,1375.0,3.0,597.0,10.0,35.0,129.0,1599.0
34003054500,"Census Tract 545, Bergen County, New Jersey",4749,130489.0,414300.0,2251.0,2828.0,506.0,0.0,313.0,0.0,64.0,158.0,880.0
34003054600,"Census Tract 546, Bergen County, New Jersey",8801,97232.0,361400.0,2880.0,3259.0,1193.0,66.0,1652.0,0.0,39.0,123.0,2469.0
34003055100,"Census Tract 551, Bergen County, New Jersey",6889,165104.0,986900.0,3303.0,4772.0,104.0,0.0,1317.0,0.0,0.0,140.0,556.0
34003055200,"Census Tract 552, Bergen County, New Jersey",7932,130139.0,611500.0,3776.0,4146.0,228.0,38.0,2374.0,0.0,101.0,131.0,914.0
34003056100,"Census Tract 561, Bergen County, New Jersey",4622,106875.0,416400.0,1740.0,4154.0,55.0,0.0,165.0,0.0,0.0,65.0,183.0
