,GEOID,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00
2857,36059519100,6072.0,76518.0,198700.0,1164.0,5011.0,34.0,12.0,478.0,0.0,481.0
2858,36059519200,5930.58853,67407.00112,201599.9979,980.7666016000001,5070.792969,19.99524117,1.999524117,419.9000549,0.0,394.90600589999997
2859,36059519300,5959.748549,60728.834010000006,199004.7619,957.3353970000001,4142.457234,17.01415065,7.001077914,707.1548378,0.00012041100000000001,1059.114332
2860,36059519400,4464.803989999999,64818.44225,222613.3519,720.8894711,3769.256226,13.00968923,7.005813536000001,381.3320175,0.0,272.187971
2861,36059519500,5884.211849,71131.00138999999,237700.0023,1375.8803710000002,5036.901367,14.98780441,8.992682457,513.5820923,0.0,290.7633972
2862,36059519601,4447.0,77788.0,252600.0,1319.0,3977.0,25.0,0.0,261.0,1.0,179.0
2863,36059519602,2220.0,93534.0,315200.0,782.0,2122.0,13.0,0.0,49.0,0.0,30.0
2864,36059519702,4549.0,115560.0,362500.0,1892.0,4234.0,25.0,1.0,203.0,0.0,76.0
2865,36059519703,3643.0,95909.0,315500.0,1384.0,3353.0,11.0,0.0,205.0,0.0,66.0
2866,36059519704,3133.0,79672.0,281900.0,1145.0,2929.0,14.0,0.0,119.0,0.0,64.0
2867,36059519801,2467.2057839999998,68295.00195,261199.9983,689.7779541,2165.302979,5.998069286000001,0.999678195,214.93081669999998,0.0,74.97586823
2868,36059519802,5177.0,90402.0,275300.0,1415.0,4696.0,32.0,2.0,265.0,0.0,168.0
2869,36059519900,5379.720946,78835.28061,243602.5023,1275.730453,4897.809287,11.99730729,11.99569837,236.97787480000002,0.0,207.9439946
2870,36059520001,6840.073189,59035.48707,199213.0467,1106.491617,6189.887484000001,18.00462335,9.004623354,218.09131119999998,0.0,365.0801381
2871,36059520002,4324.0,71375.0,241600.0,703.0,3979.0,24.0,6.0,93.0,0.0,212.0
2872,36059520100,5402.0,89759.48585,292674.8472,1885.489471,5023.563407,73.03462798,5.0051474030000005,181.0903135,0.0,104.28872249999999
2873,36059520200,3183.8277399999997,73461.99736000001,219099.9988,541.717041,2858.400635,23.81173706,4.960778713,70.4430542,0.0,220.2585754
2874,36059520300,5893.611905,65839.17328999999,208109.1572,930.846388,5395.713087,31.491165000000002,4.921922533,182.9657603,2.9499212000000004,247.05030069999998
2875,36059520401,4271.999956000001,61435.00193,206899.9999,1045.510498,3339.436523,73.96537018,10.99485207,192.9096832,0.0,616.7112427000001
2876,36059520402,4127.0,53528.0,187700.0,707.0,3450.0,57.0,2.0,148.0,0.0,439.0
2877,36059520501,3728.0,69482.0,196200.0,534.0,3294.0,13.0,7.0,173.0,1.0,228.0
2878,36059520502,5375.726858,71938.99851,216800.0054,810.5065308,4971.972656,23.98539543,9.993914604,120.9263687,0.0,234.8569946
2879,36059520600,5954.0,71365.0,207600.0,1011.0,5168.0,94.0,17.0,236.0,0.0,425.0
2880,36059520700,4946.0,69048.0,229000.0,850.0,4663.0,20.0,15.0,100.0,0.0,142.0
2881,36059520800,4110.436582,72240.75205,232786.9586,750.402488,3875.4108200000005,11.90219721,0.006084975,78.33361507,0.0,135.859687
